업태구분명,소재지전체주소
호프/통닭,서울특별시 광진구 구의동 558-11 지1층 
호프/통닭,서울특별시 광진구 화양동 51-6 1층 
호프/통닭,서울특별시 광진구 중곡동 24-2 
호프/통닭,서울특별시 광진구 화양동 47-55번지 지하1층 
호프/통닭,서울특별시 광진구 화양동 5-67번지 
호프/통닭,서울특별시 광진구 화양동 5-51 
호프/통닭,서울특별시 광진구 구의동 246-23 지하1층 
호프/통닭,서울특별시 광진구 구의동 252-39 
호프/통닭,서울특별시 광진구 중곡동 257-7 
호프/통닭,서울특별시 광진구 구의동 56-16번지 (1층) 
호프/통닭,서울특별시 광진구 군자동 364-3 
통닭(치킨),서울특별시 광진구 중곡동 245-23 
호프/통닭,서울특별시 광진구 화양동 516-5번지 1층 
호프/통닭,서울특별시 광진구 화양동 9-25 1층 
호프/통닭,서울특별시 광진구 구의동 246-94 1층 
호프/통닭,서울특별시 광진구 중곡동 39-1번지 
호프/통닭,서울특별시 광진구 중곡동 29-81 
호프/통닭,서울특별시 광진구 군자동 70-3 
호프/통닭,서울특별시 광진구 자양동 652-25 (1층) 
호프/통닭,서울특별시 광진구 구의동 251-139 1층 
호프/통닭,서울특별시 광진구 자양동 236-14 
호프/통닭,서울특별시 광진구 능동 220-12번지 
호프/통닭,서울특별시 광진구 화양동 5-51 
호프/통닭,서울특별시 광진구 중곡동 165-1 
호프/통닭,서울특별시 광진구 중곡동 564-1번지 (1층) 
호프/통닭,서울특별시 광진구 중곡동 241-33번지 (1층) 
호프/통닭,서울특별시 광진구 군자동 472-2 
호프/통닭,서울특별시 광진구 구의동 220-9번지 (1층) 
호프/통닭,서울특별시 광진구 중곡동 93-50 별이회관 
호프/통닭,서울특별시 광진구 화양동 8-2 
호프/통닭,서울특별시 광진구 중곡동 193-57 
호프/통닭,서울특별시 광진구 화양동 5-101번지 
호프/통닭,서울특별시 광진구 구의동 221-62번지 
호프/통닭,서울특별시 광진구 구의동 246-72번지 
호프/통닭,서울특별시 광진구 군자동 45-30 (1층) 
호프/통닭,서울특별시 광진구 화양동 10-14 (1층) 
호프/통닭,서울특별시 광진구 구의동 257-103 
호프/통닭,서울특별시 광진구 중곡동 62-68번지 
호프/통닭,서울특별시 광진구 화양동 7-9 (2층) 
호프/통닭,서울특별시 광진구 구의동 631-1번지 
호프/통닭,서울특별시 광진구 화양동 111-27 
호프/통닭,서울특별시 광진구 화양동 8-102 
통닭(치킨),서울특별시 광진구 중곡동 93-23번지 
호프/통닭,서울특별시 광진구 화양동 9-45번지 
호프/통닭,서울특별시 광진구 화양동 47-73 (3층) 
호프/통닭,서울특별시 광진구 구의동 671 구의자이르네 
호프/통닭,서울특별시 광진구 능동 221-3 
호프/통닭,서울특별시 광진구 자양동 659-32 1층 
통닭(치킨),서울특별시 광진구 구의동 51-20번지 (1층) 
통닭(치킨),서울특별시 광진구 중곡동 150-173번지 (1층) 
호프/통닭,서울특별시 광진구 능동 235-1번지 (1층) 
호프/통닭,서울특별시 광진구 자양동 608-31 
통닭(치킨),서울특별시 광진구 구의동 224-27 (1층) 
호프/통닭,서울특별시 광진구 화양동 16-28번지 
통닭(치킨),서울특별시 광진구 중곡동 55-5번지 
호프/통닭,서울특별시 광진구 능동 224-29 (1층) 
호프/통닭,서울특별시 광진구 군자동 476-5번지 1층 
호프/통닭,서울특별시 광진구 화양동 8-95 3층 
호프/통닭,서울특별시 광진구 자양동 862 102동101호 
호프/통닭,서울특별시 광진구 구의동 599-8 아원빌딩 1층101호 
호프/통닭,서울특별시 광진구 자양동 859 래미안프리미어팰리스 
호프/통닭,서울특별시 광진구 화양동 113-1번지 광진 코지웰 
호프/통닭,서울특별시 광진구 구의동 671 구의자이르네 
호프/통닭,서울특별시 광진구 자양동 859 래미안프리미어팰리스 
호프/통닭,서울특별시 광진구 자양동 665-11 
호프/통닭,서울특별시 광진구 중곡동 241-28 1층 
호프/통닭,서울특별시 광진구 중곡동 18-72 조광빌딩 1층 
호프/통닭,서울특별시 광진구 화양동 17-10 1층 
호프/통닭,서울특별시 광진구 중곡동 161-24 동아빌딩 1층 
통닭(치킨),서울특별시 광진구 군자동 364번지 
호프/통닭,서울특별시 광진구 광장동 287-5 
호프/통닭,서울특별시 광진구 자양동 510-5 이튼타워리버1차 107호
호프/통닭,서울특별시 광진구 구의동 242-133 1층 
호프/통닭,서울특별시 광진구 광장동 185-6 봉순빌딩 
